Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
0- 4 years, Total, Total, Dolj, Year 2014, Number of persons, 28989
0- 4 years, Total, Total, Dolj, Year 2015, Number of persons, 28931
0- 4 years, Total, Total, Dolj, Year 2016, Number of persons, 29019
0- 4 years, Total, Total, Dolj, Year 2017, Number of persons, 29592
0- 4 years, Total, Total, Dolj, Year 2018, Number of persons, 30499
0- 4 years, Total, Total, Dolj, Year 2019, Number of persons, 31259
0- 4 years, Total, Total, Dolj, Year 2020, Number of persons, 31696
0- 4 years, Total, Total, Dolj, Year 2021, Number of persons, 31836
0- 4 years, Total, Total, Dolj, Year 2022, Number of persons, 29869
0- 4 years, Total, Total, Dolj, Year 2023, Number of persons, 29752
0- 4 years, Total, Total, Dolj, Year 2024, Number of persons, 28418
0- 4 years, Total, Total, Gorj, Year 2013, Number of persons, 14634
0- 4 years, Total, Total, Gorj, Year 2014, Number of persons, 13944
0- 4 years, Total, Total, Gorj, Year 2015, Number of persons, 13386
0- 4 years, Total, Total, Gorj, Year 2016, Number of persons, 12939
0- 4 years, Total, Total, Gorj, Year 2017, Number of persons, 12768
0- 4 years, Total, Total, Gorj, Year 2018, Number of persons, 12647
0- 4 years, Total, Total, Gorj, Year 2019, Number of persons, 12549
0- 4 years, Total, Total, Gorj, Year 2020, Number of persons, 12373
0- 4 years, Total, Total, Gorj, Year 2021, Number of persons, 12230
0- 4 years, Total, Total, Gorj, Year 2022, Number of persons, 13175
0- 4 years, Total, Total, Gorj, Year 2023, Number of persons, 12595
0- 4 years, Total, Total, Gorj, Year 2024, Number of persons, 11801
0- 4 years, Total, Total, Mehedinti, Year 2013, Number of persons, 11874
0- 4 years, Total, Total, Mehedinti, Year 2014, Number of persons, 11319
0- 4 years, Total, Total, Mehedinti, Year 2015, Number of persons, 10912
0- 4 years, Total, Total, Mehedinti, Year 2016, Number of persons, 10446
0- 4 years, Total, Total, Mehedinti, Year 2017, Number of persons, 10231
0- 4 years, Total, Total, Mehedinti, Year 2018, Number of persons, 9754
0- 4 years, Total, Total, Mehedinti, Year 2019, Number of persons, 9572
0- 4 years, Total, Total, Mehedinti, Year 2020, Number of persons, 9171
0- 4 years, Total, Total, Mehedinti, Year 2021, Number of persons, 8899
0- 4 years, Total, Total, Mehedinti, Year 2022, Number of persons, 10015
0- 4 years, Total, Total, Mehedinti, Year 2023, Number of persons, 9296
0- 4 years, Total, Total, Mehedinti, Year 2024, Number of persons, 8473
0- 4 years, Total, Total, Olt, Year 2013, Number of persons, 17685
0- 4 years, Total, Total, Olt, Year 2014, Number of persons, 16806
0- 4 years, Total, Total, Olt, Year 2015, Number of persons, 16310
0- 4 years, Total, Total, Olt, Year 2016, Number of persons, 15885
0- 4 years, Total, Total, Olt, Year 2017, Number of persons, 16008
0- 4 years, Total, Total, Olt, Year 2018, Number of persons, 16257
0- 4 years, Total, Total, Olt, Year 2019, Number of persons, 16525
0- 4 years, Total, Total, Olt, Year 2020, Number of persons, 16623
0- 4 years, Total, Total, Olt, Year 2021, Number of persons, 16670
0- 4 years, Total, Total, Olt, Year 2022, Number of persons, 15847
0- 4 years, Total, Total, Olt, Year 2023, Number of persons, 15560
0- 4 years, Total, Total, Olt, Year 2024, Number of persons, 14848
0- 4 years, Total, Total, Valcea, Year 2013, Number of persons, 16088
0- 4 years, Total, Total, Valcea, Year 2014, Number of persons, 15639
0- 4 years, Total, Total, Valcea, Year 2015, Number of persons, 15106
0- 4 years, Total, Total, Valcea, Year 2016, Number of persons, 14464
0- 4 years, Total, Total, Valcea, Year 2017, Number of persons, 14335
0- 4 years, Total, Total, Valcea, Year 2018, Number of persons, 14204
0- 4 years, Total, Total, Valcea, Year 2019, Number of persons, 14088
0- 4 years, Total, Total, Valcea, Year 2020, Number of persons, 13988
0- 4 years, Total, Total, Valcea, Year 2021, Number of persons, 13978
0- 4 years, Total, Total, Valcea, Year 2022, Number of persons, 14452
0- 4 years, Total, Total, Valcea, Year 2023, Number of persons, 13873
0- 4 years, Total, Total, Valcea, Year 2024, Number of persons, 12774
0- 4 years, Total, Total, Arad, Year 2013, Number of persons, 20836
0- 4 years, Total, Total, Arad, Year 2014, Number of persons, 20026
0- 4 years, Total, Total, Arad, Year 2015, Number of persons, 19816
0- 4 years, Total, Total, Arad, Year 2016, Number of persons, 19598
0- 4 years, Total, Total, Arad, Year 2017, Number of persons, 19944
0- 4 years, Total, Total, Arad, Year 2018, Number of persons, 20319
0- 4 years, Total, Total, Arad, Year 2019, Number of persons, 20890
0- 4 years, Total, Total, Arad, Year 2020, Number of persons, 21213
0- 4 years, Total, Total, Arad, Year 2021, Number of persons, 21429
0- 4 years, Total, Total, Arad, Year 2022, Number of persons, 20995
0- 4 years, Total, Total, Arad, Year 2023, Number of persons, 20561
0- 4 years, Total, Total, Arad, Year 2024, Number of persons, 19675
0- 4 years, Total, Total, Caras-Severin, Year 2013, Number of persons, 12586
0- 4 years, Total, Total, Caras-Severin, Year 2014, Number of persons, 11892
0- 4 years, Total, Total, Caras-Severin, Year 2015, Number of persons, 11605
0- 4 years, Total, Total, Caras-Severin, Year 2016, Number of persons, 11334
0- 4 years, Total, Total, Caras-Severin, Year 2017, Number of persons, 11528
0- 4 years, Total, Total, Caras-Severin, Year 2018, Number of persons, 11643
0- 4 years, Total, Total, Caras-Severin, Year 2019, Number of persons, 11844
0- 4 years, Total, Total, Caras-Severin, Year 2020, Number of persons, 11851
0- 4 years, Total, Total, Caras-Severin, Year 2021, Number of persons, 11924
0- 4 years, Total, Total, Caras-Severin, Year 2022, Number of persons, 10450
0- 4 years, Total, Total, Caras-Severin, Year 2023, Number of persons, 10250
0- 4 years, Total, Total, Caras-Severin, Year 2024, Number of persons, 9667
0- 4 years, Total, Total, Hunedoara, Year 2013, Number of persons, 17179
0- 4 years, Total, Total, Hunedoara, Year 2014, Number of persons, 16317
0- 4 years, Total, Total, Hunedoara, Year 2015, Number of persons, 16112
0- 4 years, Total, Total, Hunedoara, Year 2016, Number of persons, 16334
0- 4 years, Total, Total, Hunedoara, Year 2017, Number of persons, 16999
0- 4 years, Total, Total, Hunedoara, Year 2018, Number of persons, 17537
0- 4 years, Total, Total, Hunedoara, Year 2019, Number of persons, 18035
0- 4 years, Total, Total, Hunedoara, Year 2020, Number of persons, 18028
0- 4 years, Total, Total, Hunedoara, Year 2021, Number of persons, 17785
0- 4 years, Total, Total, Hunedoara, Year 2022, Number of persons, 14436
0- 4 years, Total, Total, Hunedoara, Year 2023, Number of persons, 14496
0- 4 years, Total, Total, Hunedoara, Year 2024, Number of persons, 13749
0- 4 years, Total, Total, Timis, Year 2013, Number of persons, 33021
0- 4 years, Total, Total, Timis, Year 2014, Number of persons, 32509
0- 4 years, Total, Total, Timis, Year 2015, Number of persons, 32779
0- 4 years, Total, Total, Timis, Year 2016, Number of persons, 33285
0- 4 years, Total, Total, Timis, Year 2017, Number of persons, 34477
0- 4 years, Total, Total, Timis, Year 2018, Number of persons, 36214
0- 4 years, Total, Total, Timis, Year 2019, Number of persons, 37606
0- 4 years, Total, Total, Timis, Year 2020, Number of persons, 38497
0- 4 years, Total, Total, Timis, Year 2021, Number of persons, 38729
0- 4 years, Total, Total, Timis, Year 2022, Number of persons, 36084
0- 4 years, Total, Total, Timis, Year 2023, Number of persons, 36172
0- 4 years, Total, Total, Timis, Year 2024, Number of persons, 34546
5- 9 years, Total, Total, Bihor, Year 2013, Number of persons, 31402
5- 9 years, Total, Total, Bihor, Year 2014, Number of persons, 31504
5- 9 years, Total, Total, Bihor, Year 2015, Number of persons, 32067
5- 9 years, Total, Total, Bihor, Year 2016, Number of persons, 31696
5- 9 years, Total, Total, Bihor, Year 2017, Number of persons, 31013
5- 9 years, Total, Total, Bihor, Year 2018, Number of persons, 30271
5- 9 years, Total, Total, Bihor, Year 2019, Number of persons, 29485
5- 9 years, Total, Total, Bihor, Year 2020, Number of persons, 28809
5- 9 years, Total, Total, Bihor, Year 2021, Number of persons, 28439
5- 9 years, Total, Total, Bihor, Year 2022, Number of persons, 30239
5- 9 years, Total, Total, Bihor, Year 2023, Number of persons, 30717
5- 9 years, Total, Total, Bihor, Year 2024, Number of persons, 31029
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 17456
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 17186
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 17134
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 16984
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 16514
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 15982
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 15760
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 15723
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 15751
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 17622
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 17977
5- 9 years, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 18080
5- 9 years, Total, Total, Cluj, Year 2013, Number of persons, 31117
5- 9 years, Total, Total, Cluj, Year 2014, Number of persons, 31755
5- 9 years, Total, Total, Cluj, Year 2015, Number of persons, 33112
5- 9 years, Total, Total, Cluj, Year 2016, Number of persons, 33524
5- 9 years, Total, Total, Cluj, Year 2017, Number of persons, 33279
5- 9 years, Total, Total, Cluj, Year 2018, Number of persons, 33164
5- 9 years, Total, Total, Cluj, Year 2019, Number of persons, 32808
5- 9 years, Total, Total, Cluj, Year 2020, Number of persons, 32639
5- 9 years, Total, Total, Cluj, Year 2021, Number of persons, 33004
5- 9 years, Total, Total, Cluj, Year 2022, Number of persons, 34755
5- 9 years, Total, Total, Cluj, Year 2023, Number of persons, 36120
5- 9 years, Total, Total, Cluj, Year 2024, Number of persons, 37236
5- 9 years, Total, Total, Maramures, Year 2013, Number of persons, 26954
5- 9 years, Total, Total, Maramures, Year 2014, Number of persons, 26848
5- 9 years, Total, Total, Maramures, Year 2015, Number of persons, 26580
5- 9 years, Total, Total, Maramures, Year 2016, Number of persons, 26102
5- 9 years, Total, Total, Maramures, Year 2017, Number of persons, 25119
5- 9 years, Total, Total, Maramures, Year 2018, Number of persons, 23718
5- 9 years, Total, Total, Maramures, Year 2019, Number of persons, 22479
5- 9 years, Total, Total, Maramures, Year 2020, Number of persons, 21820
5- 9 years, Total, Total, Maramures, Year 2021, Number of persons, 21778
5- 9 years, Total, Total, Maramures, Year 2022, Number of persons, 23926
5- 9 years, Total, Total, Maramures, Year 2023, Number of persons, 24288
5- 9 years, Total, Total, Maramures, Year 2024, Number of persons, 24640
5- 9 years, Total, Total, Satu Mare, Year 2013, Number of persons, 20279
5- 9 years, Total, Total, Satu Mare, Year 2014, Number of persons, 20373
5- 9 years, Total, Total, Satu Mare, Year 2015, Number of persons, 20401
5- 9 years, Total, Total, Satu Mare, Year 2016, Number of persons, 20078
5- 9 years, Total, Total, Satu Mare, Year 2017, Number of persons, 19637
5- 9 years, Total, Total, Satu Mare, Year 2018, Number of persons, 18530
5- 9 years, Total, Total, Satu Mare, Year 2019, Number of persons, 17510
5- 9 years, Total, Total, Satu Mare, Year 2020, Number of persons, 17064
5- 9 years, Total, Total, Satu Mare, Year 2021, Number of persons, 16788
5- 9 years, Total, Total, Satu Mare, Year 2022, Number of persons, 18877
5- 9 years, Total, Total, Satu Mare, Year 2023, Number of persons, 19150
5- 9 years, Total, Total, Satu Mare, Year 2024, Number of persons, 18871
5- 9 years, Total, Total, Salaj, Year 2013, Number of persons, 12265
5- 9 years, Total, Total, Salaj, Year 2014, Number of persons, 12338
5- 9 years, Total, Total, Salaj, Year 2015, Number of persons, 12211
5- 9 years, Total, Total, Salaj, Year 2016, Number of persons, 12096
5- 9 years, Total, Total, Salaj, Year 2017, Number of persons, 11804
5- 9 years, Total, Total, Salaj, Year 2018, Number of persons, 11655
5- 9 years, Total, Total, Salaj, Year 2019, Number of persons, 11409
5- 9 years, Total, Total, Salaj, Year 2020, Number of persons, 11413
5- 9 years, Total, Total, Salaj, Year 2021, Number of persons, 11400
5- 9 years, Total, Total, Salaj, Year 2022, Number of persons, 12146
5- 9 years, Total, Total, Salaj, Year 2023, Number of persons, 12260
5- 9 years, Total, Total, Salaj, Year 2024, Number of persons, 12187
5- 9 years, Total, Total, Alba, Year 2013, Number of persons, 17359
5- 9 years, Total, Total, Alba, Year 2014, Number of persons, 17338
5- 9 years, Total, Total, Alba, Year 2015, Number of persons, 17252
5- 9 years, Total, Total, Alba, Year 2016, Number of persons, 16829
5- 9 years, Total, Total, Alba, Year 2017, Number of persons, 16416
5- 9 years, Total, Total, Alba, Year 2018, Number of persons, 15974
5- 9 years, Total, Total, Alba, Year 2019, Number of persons, 15545
5- 9 years, Total, Total, Alba, Year 2020, Number of persons, 15140
5- 9 years, Total, Total, Alba, Year 2021, Number of persons, 15146
5- 9 years, Total, Total, Alba, Year 2022, Number of persons, 16126
5- 9 years, Total, Total, Alba, Year 2023, Number of persons, 16260
5- 9 years, Total, Total, Alba, Year 2024, Number of persons, 16188
5- 9 years, Total, Total, Brasov, Year 2013, Number of persons, 29201
5- 9 years, Total, Total, Brasov, Year 2014, Number of persons, 29772
5- 9 years, Total, Total, Brasov, Year 2015, Number of persons, 30644
5- 9 years, Total, Total, Brasov, Year 2016, Number of persons, 31105
5- 9 years, Total, Total, Brasov, Year 2017, Number of persons, 30887
5- 9 years, Total, Total, Brasov, Year 2018, Number of persons, 30349
5- 9 years, Total, Total, Brasov, Year 2019, Number of persons, 30099
5- 9 years, Total, Total, Brasov, Year 2020, Number of persons, 30053
5- 9 years, Total, Total, Brasov, Year 2021, Number of persons, 30298
5- 9 years, Total, Total, Brasov, Year 2022, Number of persons, 31739
5- 9 years, Total, Total, Brasov, Year 2023, Number of persons, 32699
5- 9 years, Total, Total, Brasov, Year 2024, Number of persons, 33355
5- 9 years, Total, Total, Covasna, Year 2013, Number of persons, 12603
5- 9 years, Total, Total, Covasna, Year 2014, Number of persons, 12707
5- 9 years, Total, Total, Covasna, Year 2015, Number of persons, 12510
5- 9 years, Total, Total, Covasna, Year 2016, Number of persons, 12179
5- 9 years, Total, Total, Covasna, Year 2017, Number of persons, 11744
5- 9 years, Total, Total, Covasna, Year 2018, Number of persons, 11566
5- 9 years, Total, Total, Covasna, Year 2019, Number of persons, 11414
5- 9 years, Total, Total, Covasna, Year 2020, Number of persons, 11193
5- 9 years, Total, Total, Covasna, Year 2021, Number of persons, 11020
5- 9 years, Total, Total, Covasna, Year 2022, Number of persons, 11405
5- 9 years, Total, Total, Covasna, Year 2023, Number of persons, 11453
5- 9 years, Total, Total, Covasna, Year 2024, Number of persons, 11327
5- 9 years, Total, Total, Harghita, Year 2013, Number of persons, 17896
5- 9 years, Total, Total, Harghita, Year 2014, Number of persons, 18098
5- 9 years, Total, Total, Harghita, Year 2015, Number of persons, 18095
5- 9 years, Total, Total, Harghita, Year 2016, Number of persons, 17831
5- 9 years, Total, Total, Harghita, Year 2017, Number of persons, 17230
5- 9 years, Total, Total, Harghita, Year 2018, Number of persons, 16883
5- 9 years, Total, Total, Harghita, Year 2019, Number of persons, 16375
5- 9 years, Total, Total, Harghita, Year 2020, Number of persons, 16186
5- 9 years, Total, Total, Harghita, Year 2021, Number of persons, 15907
5- 9 years, Total, Total, Harghita, Year 2022, Number of persons, 16269
5- 9 years, Total, Total, Harghita, Year 2023, Number of persons, 16518
5- 9 years, Total, Total, Harghita, Year 2024, Number of persons, 16526
5- 9 years, Total, Total, Mures, Year 2013, Number of persons, 31087
5- 9 years, Total, Total, Mures, Year 2014, Number of persons, 31271
5- 9 years, Total, Total, Mures, Year 2015, Number of persons, 31178
5- 9 years, Total, Total, Mures, Year 2016, Number of persons, 30679
5- 9 years, Total, Total, Mures, Year 2017, Number of persons, 30173
5- 9 years, Total, Total, Mures, Year 2018, Number of persons, 29448
5- 9 years, Total, Total, Mures, Year 2019, Number of persons, 28668
5- 9 years, Total, Total, Mures, Year 2020, Number of persons, 28375
5- 9 years, Total, Total, Mures, Year 2021, Number of persons, 28334
